"x","y","width_sp","priority"
45.2040816326531,15,0.129374721743967,1
60.3061224489796,203.775510204082,0.129374721743967,2
105.612244897959,203.775510204082,0.135459297994221,3
113.163265306122,15,0.14533448858178,4
143.367346938776,15,0.146751862512921,5
143.367346938776,203.775510204082,0.142055135128886,6
196.224489795918,203.775510204082,0.146751862512921,7
203.775510204082,15,0.154593457660988,8
256.632653061224,15,0.156583590588004,9
256.632653061224,203.775510204082,0.154593457660988,10
301.938775510204,15,0.166097970530052,11
301.938775510204,203.775510204082,0.155678413353835,12
347.244897959184,15,0.173111996543457,13
354.795918367347,203.775510204082,0.156583590588004,14
